region	chr	midPos	Nsites_fst	fst	BLOCKstart	BLOCKend	Numer	Denom	Nsites_Dstat	Dstat	gene.density	gene.count	recombination.rate	tP.lec	Nsites_lec	Tajima.lec	pi.lec	tP.pine	Nsites_pine	Tajima.pine	pi.pine	avg.dxy	Nsites_dxy
"(357594,362129)(3214000,3249852)(3200000,3250000)"	5	3225000	4537	0.847285	3200000	3250000	0.041461	0.167729	4592	0.247190408	0.69224	9	5.94	6.856175	9207	-2.369858	0.00074467	6.553752	11600	-2.292951	0.000564979	0.85893973	20
"(2613272,2616672)(33902317,33943485)(33900000,33950000)"	4	33925000	3402	0.847173	33900000	33950000	0.201288	1.500879	3389	0.13411341	0.80674	7	5.11	5.358917	8160	-1.864486	0.00065673	10.048474	10226	-1.249919	0.00098264	0.721479598	22
"(1301462,1303289)(19050893,19096834)(19050000,19100000)"	1	19075000	1829	0.846386	19050000	19100000	0.018845	0.08871	1859	0.212433773	NA	NA	1.06	3.131947	4599	-2.070117	0.000681006	10.799365	7030	-0.011482	0.001536183	0.727737025	19
"(284634,287938)(2150846,2198892)(2150000,2200000)"	2	2175000	3306	0.845057	2150000	2200000	-0.006648	0.063024	3445	-0.105483625	0.91732	2	7.61	9.573943	8283	-1.780194	0.001155855	7.101362	10733	-2.247445	0.000661638	0.746813733	30
"(768701,773319)(7850118,7898447)(7850000,7900000)"	1	7875000	4620	0.844632	7850000	7900000	0.181788	0.304487	4764	0.597030415	0.98982	5	5.57	10.140047	11360	-1.866822	0.00089261	10.906729	11376	-1.816417	0.000958749	0.848727402	28
"(2476690,2482038)(33950000,33999940)(33950000,34000000)"	2	33975000	5350	0.843925	33950000	34000000	0.040742	0.071513	5455	0.569714597	0.9012	10	4.31	5.934847	9879	-2.251485	0.000600754	6.625144	15091	-2.558856	0.000439013	0.721881723	22
"(291277,292740)(3650218,3694155)(3650000,3700000)"	3	3675000	1465	0.84348	3650000	3700000	1.218887	1.41386	1538	0.862098793	1	1	7.57	9.248549	4573	-0.970332	0.002022425	6.343528	5328	-1.760494	0.001190602	0.738792674	11
"(362130,368736)(3250104,3299938)(3250000,3300000)"	5	3275000	6608	0.842856	3250000	3300000	0.080808	0.084371	6716	0.95776985	0.92566	12	5.94	7.421632	13639	-2.35573	0.000544148	6.744417	16392	-2.616357	0.000411446	0.741726311	26
"(1147226,1150912)(13050452,13099700)(13050000,13100000)"	2	13075000	3688	0.842715	13050000	13100000	0.039056	0.083031	3770	0.470378533	0.95054	7	3.6	4.182037	8078	-2.318111	0.000517707	7.022166	10682	-2.263631	0.000657383	0.682565804	20
"(2147232,2152315)(25600000,25649408)(25600000,25650000)"	6	25625000	5085	0.842182	25600000	25650000	0.376199	0.607423	5172	0.619336113	0.98664	7	5.54	5.880291	11063	-2.613528	0.000531528	7.165403	13611	-2.270857	0.000526442	0.756142488	20
"(1734239,1737622)(28352111,28393408)(28350000,28400000)"	3	28375000	3385	0.841649	28350000	28400000	-0.845991	0.857344	3658	-0.986757941	0.95002	7	4.36	4.715854	9921	-2.604436	0.000475341	5.655596	10031	-2.475403	0.000563812	0.674390923	16
"(2233421,2238969)(30600920,30649999)(30600000,30650000)"	5	30625000	5550	0.840632	30600000	30650000	-0.981789	1.095776	5607	-0.895976002	0.87622	7	5.19	7.049973	11128	-2.108684	0.000633535	7.428937	13919	-2.044445	0.000533726	0.732828231	25
"(2488760,2492712)(34050471,34099226)(34050000,34100000)"	2	34075000	3954	0.840419	34050000	34100000	-0.018229	0.082785	4027	-0.220196896	0.90088	8	4.31	5.930937	10172	-2.300548	0.000583065	4.800837	12242	-2.570342	0.000392161	0.779080608	16
"(2218918,2225544)(30450000,30498137)(30450000,30500000)"	5	30475000	6628	0.839512	30450000	30500000	0.098946	0.123655	6715	0.800177914	0.91562	13	5.19	11.638419	12330	-2.007953	0.000943911	6.714971	17642	-2.593376	0.000380624	0.789979929	34
"(1321117,1322484)(21000001,21047386)(21000000,21050000)"	5	21025000	1369	0.83939	21000000	21050000	0.000109	0.001696	1407	0.064268868	0.88806	6	3.47	2.810098	3182	-2.012098	0.000883123	6.323063	6456	-1.639237	0.000979409	0.633643503	11
"(2832095,2836912)(37100362,37149833)(37100000,37150000)"	2	37125000	4819	0.839279	37100000	37150000	0.019246	0.067169	4859	0.286530989	0.81716	7	5.03	6.865511	10047	-2.277061	0.000683339	8.445057	15107	-2.238903	0.000559016	0.797017056	19
"(2370815,2375569)(31900006,31949999)(31900000,31950000)"	5	31925000	4756	0.838982	31900000	31950000	0.680159	0.691568	4859	0.983502707	0.7873	6	4.9	6.058658	10348	-2.298585	0.000585491	7.445435	11981	-1.766546	0.000621437	0.758720515	22
"(971710,975517)(19400488,19449039)(19400000,19450000)"	7	19425000	3809	0.837678	19400000	19450000	0.069667	0.106235	3866	0.655781993	0.90718	7	7.12	6.153275	8347	-1.92962	0.000737184	7.001429	10930	-2.164932	0.00064057	0.811446522	21
"(1096061,1097588)(17152179,17199233)(17150000,17200000)"	5	17175000	1529	0.837417	17150000	17200000	-0.970066	1.029943	1577	-0.941863773	0.67512	5	2.58	7.026369	4532	-1.321154	0.00155039	5.310734	6762	-1.593685	0.000785379	0.655013895	14
"(1290322,1295152)(19500682,19549575)(19500000,19550000)"	4	19525000	4832	0.837042	19500000	19550000	-0.046943	0.059155	4887	-0.793559293	0.78552	8	6.75	6.706765	10317	-2.260958	0.000650069	6.88792	12323	-2.25807	0.000558948	0.843729609	15
"(240793,246097)(2100225,2149256)(2100000,2150000)"	5	2125000	5306	0.836833	2100000	2150000	0.091386	0.093398	5390	0.978457783	0.79804	8	5.61	5.495016	11544	-2.627099	0.000476006	10.837102	14874	-2.24671	0.000728594	0.905640841	18
"(1992288,1998146)(28750000,28799999)(28750000,28800000)"	4	28775000	5860	0.836813	28750000	28800000	0.270911	0.594341	5956	0.455817452	0.74424	4	3.27	11.797889	11741	-2.073736	0.001004845	9.169979	14690	-2.215502	0.000624233	0.682101853	37
"(968002,971408)(9000731,9046213)(9000000,9050000)"	6	9025000	3408	0.836555	9000000	9050000	-0.796572	0.913404	3492	-0.872091648	0.73594	3	7.76	6.874669	8210	-2.197611	0.000837353	9.157662	10627	-1.882585	0.000861735	0.643819115	31
"(2131327,2138334)(30500000,30549999)(30500000,30550000)"	2	30525000	7009	0.836069	30500000	30550000	0.025866	0.12617	7131	0.205009115	0.84424	10	8.66	7.764463	13644	-2.382437	0.000569075	9.996712	16029	-2.160474	0.000623664	0.599200279	43
"(2634006,2638305)(35450240,35499990)(35450000,35500000)"	2	35475000	4301	0.835308	35450000	35500000	0.015349	0.015851	4376	0.968330074	0.95524	7	4.56	5.857108	9199	-2.173015	0.000636711	4.645952	11825	-2.531629	0.000392892	0.800730913	10
"(1337117,1338547)(19958122,19999878)(19950000,20000000)"	1	19975000	1432	0.83485	19950000	20000000	0.40545	0.40545	1481	1	0.57154	3	2.63	14.143627	4610	-0.498156	0.003068032	9.693887	6606	-1.91335	0.001467437	0.753636938	19
"(841833,847818)(8750141,8799944)(8750000,8800000)"	2	8775000	5987	0.834576	8750000	8800000	0.47521	1.326438	6107	0.358260243	0.8919	5	6.56	11.736376	11348	-1.822226	0.001034224	10.090212	16543	-2.370834	0.000609938	0.703338245	29
"(20848,31827)(100000,149817)(100000,150000)"	6	125000	10981	0.833995	100000	150000	-0.11972	0.637979	11253	-0.18765508	1	1	8	14.277361	20925	-2.124626	0.000682311	12.510409	19578	-2.15369	0.000639003	0.693061806	62
"(871628,875076)(17350559,17399487)(17350000,17400000)"	7	17375000	3450	0.833476	17350000	17400000	0.114085	0.193502	3521	0.589580469	0.85508	9	5.25	4.651169	7334	-2.413323	0.000634193	6.916535	10849	-2.438498	0.000637527	0.787832958	16
